uid, name, line_name, lat, lng, area
193, 磁器口, 地铁5号线, 39.89175251528344, 116.41321015761918, 东城区
194, 天坛东门, 地铁5号线, 39.880936221082806, 116.414702372567, 东城区
195, 蒲黄榆, 地铁5号线, 39.86415384280392, 116.41618432040715, 丰台区
196, 刘家窑, 地铁5号线, 39.8561578196508, 116.41587308971029, 丰台区
197, 宋家庄, 地铁5号线, 39.84431807358134, 116.42219740155218, 丰台区
408, 巴沟, 地铁10号线, 39.972933028686704, 116.287786771744, 海淀区
409, 火器营, 地铁10号线, 39.96482430463315, 116.28314748227737, 海淀区
410, 长春桥, 地铁10号线, 39.957345500975826, 116.28799166802378, 海淀区
411, 车道沟, 地铁10号线, 39.94654172808859, 116.2878538011731, 海淀区
412, 慈寿寺, 地铁10号线, 39.93179988596995, 116.28832342721114, 海淀区
413, 西钓鱼台, 地铁10号线, 39.92218294222197, 116.29170708726377, 海淀区
414, 公主坟, 地铁10号线, 39.90643002819209, 116.30415756554561, 海淀区
415, 莲花桥, 地铁10号线, 39.896810543268636, 116.30422582746765, 海淀区
416, 六里桥, 地铁10号线, 39.878842032488876, 116.29680853328733, 丰台区
417, 西局, 地铁10号线, 39.8648789641343, 116.29776839468806, 丰台区
418, 泥洼, 地铁10号线, 39.85732701496505, 116.29825631277765, 丰台区
419, 丰台站, 地铁10号线, 39.84866612928104, 116.29892030598775, 丰台区
420, 首经贸, 地铁10号线, 39.84320189063178, 116.31394056573363, 丰台区
421, 纪家庙, 地铁10号线, 39.84313110767142, 116.32678010643254, 丰台区
422, 草桥, 地铁10号线, 39.84506456187586, 116.34387875173377, 丰台区
423, 角门西, 地铁10号线, 39.84452533378131, 116.36493429033666, 丰台区
424, 角门东, 地铁10号线, 39.84382513476594, 116.37989276804664, 丰台区
425, 大红门, 地铁10号线, 39.844079473878935, 116.39316496770238, 丰台区
426, 石榴庄, 地铁10号线, 39.844450406102936, 116.40792142072624, 丰台区
427, 宋家庄, 地铁10号线, 39.84431807358134, 116.42219740155218, 丰台区
428, 成寿寺, 地铁10号线, 39.84437994705951, 116.44153813052199, 朝阳区
429, 分钟寺, 地铁10号线, 39.850874965642085, 116.4475962434541, 丰台区
430, 十里河, 地铁10号线, 39.8645217343177, 116.45222774401832, 朝阳区
431, 潘家园, 地铁10号线, 39.87455104091938, 116.45496289364138, 朝阳区
432, 劲松, 地铁10号线, 39.88304231893926, 116.45523484964767, 朝阳区
433, 双井, 地铁10号线, 39.89218893817695, 116.45638243595761, 朝阳区
434, 国贸, 地铁10号线, 39.9074579662501, 116.45456953121464, 朝阳区
435, 金台夕照, 地铁10号线, 39.91565392891773, 116.45555230678656, 朝阳区
436, 呼家楼, 地铁10号线, 39.92200462164781, 116.45537000658202, 朝阳区
437, 团结湖, 地铁10号线, 39.932406698570354, 116.45558943782964, 朝阳区
438, 农业展览馆, 地铁10号线, 39.940011643667326, 116.45602234751495, 朝阳区
439, 亮马桥, 地铁10号线, 39.94802739305504, 116.45598660709078, 朝阳区
440, 三元桥, 地铁10号线, 39.95988324824096, 116.45078877788615, 朝阳区
441, 太阳宫, 地铁10号线, 39.97122675991179, 116.44133692593506, 朝阳区
442, 芍药居, 地铁10号线, 39.97600396970949, 116.43058607697259, 朝阳区
443, 惠新西街南口, 地铁10号线, 39.97565713899435, 116.4113568945419, 朝阳区
444, 安贞门, 地铁10号线, 39.97557747560149, 116.39971841932335, 朝阳区
445, 北土城, 地铁10号线, 39.97575257751568, 116.38799995612712, 朝阳区
446, 健德门, 地铁10号线, 39.97523564861747, 116.37512603418676, 海淀区
447, 牡丹园, 地铁10号线, 39.97499995065704, 116.36359794953432, 海淀区
448, 西土城, 地铁10号线, 39.974923789507194, 116.34806804955485, 海淀区
449, 知春路, 地铁10号线, 39.97506981134854, 116.3348130801178, 海淀区
450, 知春里, 地铁10号线, 39.97503763487931, 116.32332846411958, 海淀区
451, 海淀黄庄, 地铁10号线, 39.974704920323944, 116.31166488746788, 海淀区
452, 苏州街, 地铁10号线, 39.97435775706635, 116.30018282182535, 海淀区
344, 中国美术馆, 地铁8号线, 39.92283477602927, 116.40463516487218, 东城区
345, 南锣鼓巷, 地铁8号线, 39.93207583279856, 116.39735945390602, 东城区
346, 什刹海, 地铁8号线, 39.936236793181095, 116.38994259610202, 西城区
347, 鼓楼大街, 地铁8号线, 39.946879062141505, 116.38760852040048, 西城区
348, 安德里北街, 地铁8号线, 39.955838470688015, 116.38891508924803, 东城区
349, 安华桥, 地铁8号线, 39.96713744966107, 116.38795848002837, 朝阳区
350, 北土城, 地铁8号线, 39.97575257751568, 116.38799995612712, 朝阳区
351, 奥体中心, 地铁8号线, 39.984577785244326, 116.38753656870509, 朝阳区
352, 奥林匹克公园, 地铁8号线, 40.00020124350176, 116.38610121900953, 朝阳区
353, 森林公园南门, 地铁8号线, 40.00847888611647, 116.3863827892068, 朝阳区
354, 林萃桥, 地铁8号线, 40.02055923918934, 116.36636359195026, 朝阳区
355, 永泰庄, 地铁8号线, 40.03650232586363, 116.34841894228278, 海淀区
356, 西小口, 地铁8号线, 40.04555841482971, 116.34546445194239, 海淀区
357, 育新, 地铁8号线, 40.05900668072652, 116.34097946278571, 海淀区
358, 霍营, 地铁8号线, 40.06988966964725, 116.3538926958612, 昌平区
359, 回龙观东大街, 地铁8号线, 40.07957448946217, 116.35696011261997, 昌平区
360, 平西府, 地铁8号线, 40.08869679018451, 116.34418831147396, 昌平区
361, 育知路, 地铁8号线, 40.08665130086793, 116.32099745415599, 昌平区
362, 朱辛庄, 地铁8号线, 40.10309985580052, 116.3074629779508, 昌平区
744, 东直门, 首都机场线, 39.94048013789938, 116.42863408535536, 东城区
745, 三元桥, 首都机场线, 39.95988324824096, 116.45078877788615, 朝阳区
746, 3号航站楼, 首都机场线, 40.051757669042324, 116.60975732884168, 顺义区
747, 2号航站楼, 首都机场线, 40.07871712323319, 116.58716461715419, 朝阳区
82, 安河桥北, 地铁4号线大兴线, 40.01112517524917, 116.26398172167065, 海淀区
83, 北宫门, 地铁4号线大兴线, 40.00109281870948, 116.27154172053953, 海淀区
84, 西苑, 地铁4号线大兴线, 39.99735409699485, 116.28536515266137, 海淀区
85, 圆明园, 地铁4号线大兴线, 39.99816975406871, 116.3033208061906, 海淀区
86, 北京大学东门, 地铁4号线大兴线, 39.99081185378005, 116.30959383663159, 海淀区
87, 中关村, 地铁4号线大兴线, 39.98277486664854, 116.31039016027412, 海淀区
88, 海淀黄庄, 地铁4号线大兴线, 39.974704920323944, 116.31166488746788, 海淀区
89, 人民大学, 地铁4号线大兴线, 39.96566541998164, 116.31538855741668, 海淀区
90, 魏公村, 地铁4号线大兴线, 39.956378376103366, 116.31716987956747, 海淀区
91, 国家图书馆, 地铁4号线大兴线, 39.94181324409666, 116.31919313473003, 海淀区
92, 动物园, 地铁4号线大兴线, 39.93694434445752, 116.33243984852696, 西城区
93, 西直门, 地铁4号线大兴线, 39.93936226620719, 116.34868016976093, 西城区
94, 新街口, 地铁4号线大兴线, 39.93924789692195, 116.36141345674486, 西城区
95, 平安里, 地铁4号线大兴线, 39.9318439462779, 116.3659061917021, 西城区
96, 西四, 地铁4号线大兴线, 39.92280757117233, 116.36708239817658, 西城区
97, 灵境胡同, 地铁4号线大兴线, 39.91468590780197, 116.36753469234334, 西城区
98, 西单, 地铁4号线大兴线, 39.905843138608404, 116.36921878359975, 西城区
99, 宣武门, 地铁4号线大兴线, 39.898414862573446, 116.36815049925822, 西城区
100, 菜市口, 地铁4号线大兴线, 39.887907931682854, 116.36825048748945, 西城区
101, 陶然亭, 地铁4号线大兴线, 39.87715307202049, 116.36819056229436, 西城区
102, 北京南站, 地铁4号线大兴线, 39.86355060750214, 116.37293992819284, 丰台区
103, 马家堡, 地铁4号线大兴线, 39.851788247114506, 116.36516021253361, 丰台区
104, 角门西, 地铁4号线大兴线, 39.84452533378131, 116.36493429033666, 丰台区
105, 公益西桥, 地铁4号线大兴线, 39.83493607182019, 116.36458718069778, 丰台区
106, 新宫, 地铁4号线大兴线, 39.81101691898486, 116.3593882511946, 丰台区
107, 西红门, 地铁4号线大兴线, 39.78843217860231, 116.32245864241013, 大兴区
108, 高米店北, 地铁4号线大兴线, 39.77254749154655, 116.32459561014018, 大兴区
109, 高米店南, 地铁4号线大兴线, 39.76206321856411, 116.32566216486039, 大兴区
110, 枣园, 地铁4号线大兴线, 39.75208592944221, 116.32622174853812, 大兴区
111, 清源路, 地铁4号线大兴线, 39.741362774742186, 116.32626816188929, 大兴区
112, 黄村西大街, 地铁4号线大兴线, 39.73039293801157, 116.32638484950259, 大兴区
113, 黄村火车站, 地铁4号线大兴线, 39.72134460740193, 116.32674668948304, 大兴区
114, 义和庄, 地铁4号线大兴线, 39.71117914616393, 116.31290216753197, 大兴区
115, 生物医药基地, 地铁4号线大兴线, 39.68519955364932, 116.31557627632009, 大兴区
116, 天宫院, 地铁4号线大兴线, 39.66902505374084, 116.31380167810991, 大兴区
690, 西二旗, 地铁昌平线, 40.051693864487206, 116.2999943521467, 海淀区
691, 生命科学园, 地铁昌平线, 40.09353248863633, 116.28813831898232, 昌平区
692, 朱辛庄, 地铁昌平线, 40.10309985580052, 116.3074629779508, 昌平区
693, 巩华城, 地铁昌平线, 40.1297918922677, 116.28792420938017, 昌平区
694, 沙河, 地铁昌平线, 40.147124139694306, 116.28258997356828, 昌平区
695, 沙河高教园, 地铁昌平线, 40.16342058536989, 116.27431991345347, 昌平区
696, 南邵, 地铁昌平线, 40.20583923373619, 116.28102043824357, 昌平区
697, 北邵洼, 地铁昌平线, 40.22050208187553, 116.27549354600129, 昌平区
698, 昌平东关, 地铁昌平线, 40.22049240076354, 116.25601780516493, 昌平区
699, 昌平, 地铁昌平线, 40.21936571720787, 116.22740001509558, 昌平区
700, 十三陵景区, 地铁昌平线, 40.23874351024557, 116.20160681560026, 昌平区
701, 昌平西山口, 地铁昌平线, 40.243099700173865, 116.18952174934633, 昌平区
720, 郭公庄, 地铁房山线, 39.81328058308249, 116.29598787799677, 丰台区
721, 大葆台, 地铁房山线, 39.80659046357515, 116.2857285587518, 丰台区
722, 稻田, 地铁房山线, 39.79363552275134, 116.21277495899523, 房山区
723, 长阳, 地铁房山线, 39.76249949779661, 116.2065821069564, 房山区
724, 篱笆房, 地铁房山线, 39.759415162301586, 116.1833054669615, 房山区
725, 广阳城, 地铁房山线, 39.74664491473901, 116.17878705991819, 房山区
726, 良乡大学城北, 地铁房山线, 39.72871376432684, 116.17726952487914, 房山区
727, 良乡大学城, 地铁房山线, 39.72198448002124, 116.17030555021393, 房山区
728, 良乡大学城西, 地铁房山线, 39.72193477443596, 116.1500998925379, 房山区
729, 良乡南关, 地铁房山线, 39.721934742420956, 116.1345781786488, 房山区
730, 苏庄, 地铁房山线, 39.72191102995162, 116.11909687812687, 房山区
731, 阎村东, 地铁房山线, 39.72763982856755, 116.09407294102883, 房山区
588, 清华东路西口, 地铁15号线, 39.999307118286254, 116.33272045718077, 海淀区
589, 六道口, 地铁15号线, 39.99962533926011, 116.34649867404484, 海淀区
590, 北沙滩, 地铁15号线, 40.000164720391844, 116.36280977475054, 海淀区
591, 奥林匹克公园, 地铁15号线, 40.00020124350176, 116.38610121900953, 朝阳区
592, 安立路, 地铁15号线, 40.00121306921608, 116.40162579077489, 朝阳区
593, 大屯路东, 地铁15号线, 40.001999266221986, 116.41187498728166, 朝阳区
594, 关庄, 地铁15号线, 39.99976665529487, 116.4251345239984, 朝阳区
595, 望京西, 地铁15号线, 39.994185253769345, 116.44284152596629, 朝阳区
596, 望京, 地铁15号线, 39.99752439590686, 116.46254676202655, 朝阳区
597, 望京东, 地铁15号线, 40.00205870799252, 116.48069676914223, 朝阳区
598, 崔各庄, 地铁15号线, 40.021141536067816, 116.48661515348115, 朝阳区
599, 马泉营, 地铁15号线, 40.03241238278785, 116.4972168088641, 朝阳区
600, 孙河, 地铁15号线, 40.04388804694021, 116.52874539281004, 朝阳区
601, 国展, 地铁15号线, 40.0689440915749, 116.54935045343238, 顺义区
602, 花梨坎, 地铁15号线, 40.08336600079884, 116.55182738629156, 顺义区
603, 后沙峪, 地铁15号线, 40.1130226510659, 116.55835731086323, 顺义区
604, 南法信, 地铁15号线, 40.127402037909825, 116.60408007068537, 顺义区
605, 石门, 地铁15号线, 40.128881389138435, 116.63551346563791, 顺义区
606, 顺义, 地铁15号线, 40.128799579034336, 116.65132562894799, 顺义区
607, 俸伯, 地铁15号线, 40.13138030354912, 116.67886548138398, 顺义区
778, 宋家庄, 地铁亦庄线, 39.84431807358134, 116.42219740155218, 丰台区
779, 肖村, 地铁亦庄线, 39.8328624530622, 116.44225911238978, 朝阳区
780, 小红门, 地铁亦庄线, 39.82701284037177, 116.45305829871899, 朝阳区
781, 旧宫, 地铁亦庄线, 39.805573615519, 116.45469757310197, 大兴区
782, 亦庄桥, 地铁亦庄线, 39.801728005617946, 116.47424337127572, 大兴区
783, 亦庄文化园, 地铁亦庄线, 39.805697380900924, 116.48475939734743, 大兴区
784, 万源街, 地铁亦庄线, 39.801724108447885, 116.49962894733363, 大兴区
785, 荣京东街, 地铁亦庄线, 39.79202234023558, 116.50750557431957, 大兴区
786, 荣昌东街, 地铁亦庄线, 39.78169661739979, 116.5157490845375, 大兴区
787, 同济南路, 地铁亦庄线, 39.77179987575067, 116.53394229546447, 通州区
788, 经海路, 地铁亦庄线, 39.782647430490655, 116.55654485379155, 通州区
789, 次渠南, 地铁亦庄线, 39.79411959205464, 116.57555269562775, 通州区
790, 次渠, 地铁亦庄线, 39.80245282706647, 116.58555770070248, 通州区
791, 亦庄火车站, 地铁亦庄线, 39.811465566349916, 116.59586101573649, 通州区
382, 国家图书馆, 地铁9号线, 39.94181324409666, 116.31919313473003, 海淀区
383, 白石桥南, 地铁9号线, 39.931512713619256, 116.31898781481489, 海淀区
384, 白堆子, 地铁9号线, 39.92266296523352, 116.31965766101101, 海淀区
385, 军事博物馆, 地铁9号线, 39.90626108452424, 116.31662186105736, 海淀区
386, 北京西站, 地铁9号线, 39.893572179387895, 116.315122173401, 丰台区
387, 六里桥东, 地铁9号线, 39.88604319488544, 116.30920652178068, 丰台区
388, 六里桥, 地铁9号线, 39.878842032488876, 116.29680853328733, 丰台区
389, 七里庄, 地铁9号线, 39.86549964618543, 116.28806465781165, 丰台区
390, 丰台东大街, 地铁9号线, 39.85391024069234, 116.2878145901856, 丰台区
391, 丰台南路, 地铁9号线, 39.83972064297327, 116.29037205054, 丰台区
392, 科怡路, 地铁9号线, 39.83119897814957, 116.29132907104766, 丰台区
393, 丰台科技园, 地铁9号线, 39.823984339278205, 116.29116804497198, 丰台区
394, 郭公庄, 地铁9号线, 39.81328058308249, 116.29598787799677, 丰台区
198, 金安桥, 地铁6号线, 39.92200387744141, 116.15646556792512, 石景山区
199, 杨庄, 地铁6号线, 39.92685429117052, 116.18156678401918, 石景山区
200, 西黄村, 地铁6号线, 39.932438896163546, 116.20071593592287, 石景山区
201, 廖公庄, 地铁6号线, 39.93112751134256, 116.22091701725302, 海淀区
202, 田村, 地铁6号线, 39.92836064678148, 116.24686521137403, 海淀区
203, 海淀五路居, 地铁6号线, 39.93104019738602, 116.27054789297335, 海淀区
204, 慈寿寺, 地铁6号线, 39.93179988596995, 116.28832342721114, 海淀区
205, 花园桥, 地铁6号线, 39.9311284266553, 116.30498190171305, 海淀区
206, 白石桥南, 地铁6号线, 39.931512713619256, 116.31898781481489, 海淀区
207, 车公庄西, 地铁6号线, 39.931079127189875, 116.33796344175222, 西城区
208, 车公庄, 地铁6号线, 39.93123701639769, 116.34912594358079, 西城区
209, 平安里, 地铁6号线, 39.9318439462779, 116.3659061917021, 西城区
210, 北海北, 地铁6号线, 39.93185712902649, 116.38061705574162, 西城区
211, 南锣鼓巷, 地铁6号线, 39.93207583279856, 116.39735945390602, 东城区
212, 东四, 地铁6号线, 39.922913225411506, 116.41063962213569, 东城区
213, 朝阳门, 地铁6号线, 39.923150247189, 116.42747299960769, 东城区
214, 东大桥, 地铁6号线, 39.92163632319795, 116.4456658294925, 朝阳区
215, 呼家楼, 地铁6号线, 39.92200462164781, 116.45537000658202, 朝阳区
216, 金台路, 地铁6号线, 39.92198892821092, 116.47226784186387, 朝阳区
217, 十里堡, 地铁6号线, 39.921824002814255, 116.49607850510728, 朝阳区
218, 青年路, 地铁6号线, 39.92194749807962, 116.51099982031681, 朝阳区
219, 褡裢坡, 地铁6号线, 39.922997867739774, 116.55787101508099, 朝阳区
220, 黄渠, 地铁6号线, 39.923244125331905, 116.57251806430617, 朝阳区
221, 常营, 地铁6号线, 39.924687576719464, 116.59379237698951, 朝阳区
222, 草房, 地铁6号线, 39.92352079628435, 116.61028573373572, 朝阳区
223, 物资学院路, 地铁6号线, 39.92566141701123, 116.63368415075648, 通州区
224, 通州北关, 地铁6号线, 39.91735693585813, 116.65574775560482, 通州区
225, 北运河西, 地铁6号线, 39.90196882113452, 116.68224986408893, 通州区
226, 北运河东, 地铁6号线, 39.902395113381885, 116.70113098125195, 通州区
227, 郝家府, 地铁6号线, 39.90229117920374, 116.71160415730601, 通州区
228, 东夏园, 地铁6号线, 39.9022100368699, 116.72756201604015, 通州区
229, 潞城, 地铁6号线, 39.90142870746031, 116.74203973449724, 通州区
574, 西局, 地铁14号线西段, 39.8648789641343, 116.29776839468806, 丰台区
575, 七里庄, 地铁14号线西段, 39.86549964618543, 116.28806465781165, 丰台区
576, 大井, 地铁14号线西段, 39.864000043619036, 116.26939051517564, 丰台区
577, 郭庄子, 地铁14号线西段, 39.863474269173444, 116.24731410537342, 丰台区
